primary_code,domicile_id,asset_universe,,
40056091,USA,Exchange Traded Funds,,
40056093,USA,Exchange Traded Funds,,
40056094,USA,Exchange Traded Funds,,
40056096,USA,Exchange Traded Funds,,
40056098,USA,Exchange Traded Funds,,
40056100,USA,Exchange Traded Funds,,
40056101,USA,Exchange Traded Funds,,
40056103,USA,Exchange Traded Funds,,
40056104,USA,Exchange Traded Funds,,
40056105,USA,Exchange Traded Funds,,
40056106,USA,Exchange Traded Funds,,
40056108,USA,Exchange Traded Funds,,
40056109,USA,Exchange Traded Funds,,
40056111,USA,Exchange Traded Funds,,
40056114,USA,Exchange Traded Funds,,
40056115,USA,Exchange Traded Funds,,
40056117,USA,Exchange Traded Funds,,
40056118,USA,Exchange Traded Funds,,
40056120,USA,Exchange Traded Funds,,
40056121,USA,Exchange Traded Funds,,
40056122,USA,Exchange Traded Funds,,
40056124,USA,Exchange Traded Funds,,
40056125,USA,Exchange Traded Funds,,
40056868,USA,Exchange Traded Funds,,
40056869,USA,Exchange Traded Funds,,
40056870,USA,Exchange Traded Funds,,
40058266,USA,Mutual Funds,,
40058620,USA,Mutual Funds,,
40059805,USA,Mutual Funds,,
40059840,USA,Mutual Funds,,
40027985,USA,Mutual Funds,,
40060821,USA,Exchange Traded Funds,,
40061120,USA,Exchange Traded Funds,,
40061121,USA,Exchange Traded Funds,,
40061122,USA,Exchange Traded Funds,,
40061123,USA,Exchange Traded Funds,,
40061124,USA,Exchange Traded Funds,,
40061125,USA,Exchange Traded Funds,,
40061126,USA,Exchange Traded Funds,,
40061127,USA,Exchange Traded Funds,,
40061129,USA,Exchange Traded Funds,,
40061130,USA,Exchange Traded Funds,,
40061132,USA,Exchange Traded Funds,,
40061133,USA,Exchange Traded Funds,,
40061134,USA,Exchange Traded Funds,,
40061135,USA,Exchange Traded Funds,,
40061149,USA,Exchange Traded Funds,,
40061336,USA,Exchange Traded Funds,,
40061337,USA,Exchange Traded Funds,,
40061338,USA,Exchange Traded Funds,,
40061339,USA,Exchange Traded Funds,,
40061340,USA,Exchange Traded Funds,,
40061341,USA,Exchange Traded Funds,,
40061342,USA,Exchange Traded Funds,,
40061344,USA,Exchange Traded Funds,,
40007162,USA,Exchange Traded Funds,,
40000678,USA,Exchange Traded Funds,,
40007785,USA,Exchange Traded Funds,,
40001417,USA,Mutual Funds,,
40062427,USA,Mutual Funds,,
40062431,USA,Mutual Funds,,
40062583,USA,Mutual Funds,,
40062670,USA,Exchange Traded Funds,,
40062671,USA,Exchange Traded Funds,,
40022225,USA,Mutual Funds,,
40064944,USA,Mutual Funds,,
40066626,USA,Exchange Traded Funds,,
40067385,USA,Mutual Funds,,
40068825,USA,Mutual Funds,,
40068873,USA,Exchange Traded Funds,,
40068874,USA,Exchange Traded Funds,,
40069821,USA,Exchange Traded Funds,,
40069822,USA,Exchange Traded Funds,,
40069823,USA,Exchange Traded Funds,,
40069824,USA,Exchange Traded Funds,,
40069825,USA,Exchange Traded Funds,,
40069826,USA,Exchange Traded Funds,,
40069827,USA,Exchange Traded Funds,,
40070881,USA,Exchange Traded Funds,,
40071461,USA,Mutual Funds,,
40071500,USA,Mutual Funds,,
40073950,USA,Exchange Traded Funds,,
40073951,USA,Exchange Traded Funds,,
40073952,USA,Exchange Traded Funds,,
40073953,USA,Exchange Traded Funds,,
40073954,USA,Exchange Traded Funds,,
40073955,USA,Exchange Traded Funds,,
40004536,USA,Exchange Traded Funds,,
40078606,USA,Exchange Traded Funds,,
40078607,USA,Exchange Traded Funds,,
40078608,USA,Exchange Traded Funds,,
40078609,USA,Exchange Traded Funds,,
40079078,USA,Exchange Traded Funds,,
40079221,USA,Exchange Traded Funds,,
40079222,USA,Exchange Traded Funds,,
40079246,USA,Mutual Funds,,
40079247,USA,Mutual Funds,,
40079248,USA,Mutual Funds,,
40080827,USA,Mutual Funds,,
40080880,USA,Mutual Funds,,
40030085,USA,Mutual Funds,,
40082695,USA,Mutual Funds,,
40023990,USA,Mutual Funds,,
40086551,USA,Exchange Traded Funds,,
40086635,USA,Exchange Traded Funds,,
40086636,USA,Exchange Traded Funds,,
40086637,USA,Exchange Traded Funds,,
40086638,USA,Exchange Traded Funds,,
40087978,USA,Mutual Funds,,
40088065,USA,Exchange Traded Funds,,
40088196,USA,Exchange Traded Funds,,
40088651,USA,Exchange Traded Funds,,
40088841,USA,Exchange Traded Funds,,
40088842,USA,Exchange Traded Funds,,
40089170,USA,Exchange Traded Funds,,
40089183,USA,Mutual Funds,,
40089188,USA,Mutual Funds,,
40089193,USA,Mutual Funds,,
40091213,USA,Mutual Funds,,
40007784,USA,Exchange Traded Funds,,
40034043,USA,Exchange Traded Funds,,
40035488,USA,Exchange Traded Funds,,
40035487,USA,Exchange Traded Funds,,
40005604,USA,Exchange Traded Funds,,
40005605,USA,Exchange Traded Funds,,
40011131,USA,Exchange Traded Funds,,
40091388,USA,Exchange Traded Funds,,
40091389,USA,Exchange Traded Funds,,
40091390,USA,Exchange Traded Funds,,
