primary_code,t_date,fund size
60006508,10/31/2019,940283527
60006510,10/31/2019,147921784
60006511,10/31/2019,525824100
60006716,10/31/2019,54062156
60006717,10/31/2019,728523117
60006718,10/31/2019,5504876
60006721,10/31/2019,26828156
60006728,10/31/2019,15922399
60006730,10/31/2019,6416422
60006733,10/31/2019,120056950
60006736,10/31/2019,33814702
60006737,10/31/2019,39032143
60006739,10/31/2019,39195983
60006740,10/31/2019,7420642
60006746,10/31/2019,8946587
60006906,10/31/2019,3562387254
60006966,10/31/2019,639249512
60007019,10/31/2019,4320310909
60007058,10/31/2019,254931535
60007087,10/31/2019,511635977
60007357,10/31/2019,386604500
60007642,10/31/2019,378063868
60008333,10/31/2019,1610812328
60010204,10/31/2019,188599013
60010205,10/31/2019,675414367
60010208,10/31/2019,477004772
60010210,10/31/2019,699008765
60010212,10/31/2019,401121388
60010216,10/31/2019,2361802993
60012226,10/31/2019,579452828
60012863,10/31/2019,12310212
60012865,10/31/2019,182766534
60012954,10/31/2019,4624171024
60012981,10/31/2019,980403274
60013317,10/31/2019,410722491
60013796,10/31/2019,2075245456
60013800,10/31/2019,1245203807
60013835,10/31/2019,112234597
60014465,10/31/2019,46402827
60014466,10/31/2019,77992574
60014825,10/31/2019,1471898780
60018314,10/31/2019,2180110365
60018321,10/31/2019,469902232
60018326,10/31/2019,224576286
60018333,10/31/2019,94900121
60018335,10/31/2019,122593457
60021722,10/31/2019,166455844
60021723,10/31/2019,40428377
60021727,10/31/2019,35656016
60021728,10/31/2019,79689609
60021729,10/31/2019,16561427
60021731,10/31/2019,103528006
60021733,10/31/2019,267170464
60021734,10/31/2019,118776599
60021735,10/31/2019,2130556737
60021736,10/31/2019,64986183
60021737,10/31/2019,19266793
60021741,10/31/2019,38773642
60021745,10/31/2019,23648273
60021747,10/31/2019,60489536
60021748,10/31/2019,23433688
60021750,10/31/2019,19897497
60021751,10/31/2019,19245240
60021761,10/31/2019,31997813
60021762,10/31/2019,122664690
60021763,10/31/2019,45409179
60021768,10/31/2019,24815733
60021770,10/31/2019,817351783
60021775,10/31/2019,34660993
60021776,10/31/2019,23811906
60021777,10/31/2019,77663909
60021779,10/31/2019,34899546
60021780,10/31/2019,104618349
60021782,10/31/2019,109787013
60021783,10/31/2019,915857650
60021784,10/31/2019,73708383
60021786,10/31/2019,256475093
60021792,10/31/2019,30480620
60021796,10/31/2019,949492561
60021798,10/31/2019,22009161
60021799,10/31/2019,34359780
60021800,10/31/2019,36980004
60021801,10/31/2019,28942838
60021803,10/31/2019,11585913
60021804,10/31/2019,40981985
60021805,10/31/2019,115479272
60021808,10/31/2019,225344524
60021809,10/31/2019,40764477
60021810,10/31/2019,57553750
60021815,10/31/2019,18504259
60021816,10/31/2019,20649036
60021817,10/31/2019,7820435
60021818,10/31/2019,11571903
60021819,10/31/2019,9099615
60021820,10/31/2019,40708742
60021822,10/31/2019,16780882
60021831,10/31/2019,118663094
60021833,10/31/2019,168592438
60021834,10/31/2019,95788818
60021835,10/31/2019,105262749
60021836,10/31/2019,165803331
60021837,10/31/2019,193743014
60021838,10/31/2019,35848683
60021840,10/31/2019,39774201
60021841,10/31/2019,122716299
60021842,10/31/2019,2199391769
60021843,10/31/2019,96727077
60021844,10/31/2019,14402888
60021846,10/31/2019,15364736
60021847,10/31/2019,17989228
60021848,10/31/2019,399953708
60021852,10/31/2019,16539748
60021853,10/31/2019,374285002
60021854,10/31/2019,17251776
60021855,10/31/2019,20227982
60021858,10/31/2019,15611781
60021861,10/31/2019,33302381
60021865,10/31/2019,26624637
60021866,10/31/2019,696328224
60021868,10/31/2019,79827221
60021869,10/31/2019,144558655
60021870,10/31/2019,40729940
60021871,10/31/2019,196565832
60021872,10/31/2019,24535751
60021874,10/31/2019,30127944
60021875,10/31/2019,1078813115
60021877,10/31/2019,28437904
60021884,10/31/2019,10166008
60021885,10/31/2019,16309691
60021887,10/31/2019,1258066938
60021890,10/31/2019,45294616
60021892,10/31/2019,985450188
60021897,10/31/2019,108206945
60021898,10/31/2019,28915722
60021900,10/31/2019,1263616232
60021901,10/31/2019,29572845
60021903,10/31/2019,42874542
60021904,10/31/2019,26982938
60021905,10/31/2019,44620014
60021906,10/31/2019,20012978
60021908,10/31/2019,18734679
60021913,10/31/2019,2140993799
60021915,10/31/2019,6594546
60021920,10/31/2019,10225368
60021922,10/31/2019,20468678
60021925,10/31/2019,59478264
60021926,10/31/2019,39337885
60021935,10/31/2019,540930251
60021938,10/31/2019,11853307
60021940,10/31/2019,27908508
60021943,10/31/2019,9567390
60021950,10/31/2019,29698477
60021952,10/31/2019,656060842
60021954,10/31/2019,12620771
60023788,10/31/2019,145350813
60023792,10/31/2019,655536796
60023798,10/31/2019,831592104
60023804,10/31/2019,72536673
60023860,10/31/2019,929834176
60023868,10/31/2019,888653324
60026494,10/31/2019,171416039
60026793,10/31/2019,79070156
60031233,10/31/2019,3250787640
60031855,10/31/2019,407371814
60032521,10/31/2019,72764475
60032533,10/31/2019,105022345
60032534,10/31/2019,538486690
60032549,10/31/2019,676725877
60033245,10/31/2019,2349560322
60033637,10/31/2019,244269082
60033657,10/31/2019,452142923
60033698,10/31/2019,408264528
60033705,10/31/2019,1202075806
60033889,10/31/2019,2359873935
60033893,10/31/2019,1398416321
60033894,10/31/2019,656297301
60033897,10/31/2019,7805011474
60033901,10/31/2019,835814126
60033905,10/31/2019,675762167
60033915,10/31/2019,615209793
60033916,10/31/2019,100013623
60033921,10/31/2019,814471043
60033922,10/31/2019,1406714923
60033953,10/31/2019,3412984339
60033954,10/31/2019,719718134
60033955,10/31/2019,751463780
60033957,10/31/2019,3291738724
60033958,10/31/2019,357824808
60033959,10/31/2019,4932223208
60033960,10/31/2019,775714898
60033961,10/31/2019,449452082
60033962,10/31/2019,992039321
60033963,10/31/2019,3116566974
60033964,10/31/2019,202603551
60033965,10/31/2019,7950356203
60033966,10/31/2019,995552559
60033967,10/31/2019,1083164959
60033968,10/31/2019,95003151
60033969,10/31/2019,872009637
60033970,10/31/2019,912822734
60033971,10/31/2019,708551474
60033972,10/31/2019,498422891
60033973,10/31/2019,309921500
60033974,10/31/2019,1837336380
60033975,10/31/2019,449871157
60033976,10/31/2019,354105828
60033977,10/31/2019,340801955
60033978,10/31/2019,83171855
60033980,10/31/2019,967003626
60033981,10/31/2019,71529900
60033982,10/31/2019,430846668
60033983,10/31/2019,1826072174
60033988,10/31/2019,57660401
60033989,10/31/2019,2233321585
60033991,10/31/2019,255030746
60033993,10/31/2019,4976843936
60033994,10/31/2019,99316069
60033995,10/31/2019,311185200
60033997,10/31/2019,1328555651
60033998,10/31/2019,3380382338
60034102,10/31/2019,18393465
60034326,10/31/2019,1373257730
60034336,10/31/2019,1837560850
60034338,10/31/2019,669648862
60034797,10/31/2019,810858048
60034798,10/31/2019,1172234465
60034799,10/31/2019,729344421
60034806,10/31/2019,6153994804
60034808,10/31/2019,460297815
60034810,10/31/2019,5269231836
60034812,10/31/2019,371786096
60034815,10/31/2019,168267324
60034820,10/31/2019,191116220
60034822,10/31/2019,787555835
60034823,10/31/2019,579593742
60034824,10/31/2019,4642407905
60035180,10/31/2019,992448542
60035197,10/31/2019,167621447
60035216,10/31/2019,59605437
60035275,10/31/2019,317176485
60035278,10/31/2019,1053206478
60035291,10/31/2019,85194617
60035296,10/31/2019,969964141
60035316,10/31/2019,475917100
60035321,10/31/2019,1210926720
60035640,10/31/2019,204458600
60035646,10/31/2019,4225642500
60035652,10/31/2019,4514875600
60035668,10/31/2019,3669579919
60035690,10/31/2019,158891061
60035708,10/31/2019,2199141200
60035718,10/31/2019,2133111700
60035720,10/31/2019,2023396200
60035750,10/31/2019,6290846900
60035802,10/31/2019,406586149
60035805,10/31/2019,262471433
60035807,10/31/2019,130044022
60036192,10/31/2019,2282287864
